,product_uid,brand
9,100001.0,Simpson Strong-Tie
37,100002.0,BEHR Premium Textured DeckOver
69,100003.0,STERLING
93,100004.0,Grape Solar
122,100005.0,Delta
163,100006.0,Whirlpool
204,100007.0,Lithonia Lighting
236,100008.0,Teks
256,100009.0,House of Fara
283,100010.0,Valley View Industries
318,100011.0,Toro
363,100012.0,Hampton Bay
389,100013.0,InSinkErator
405,100014.0,Rubbermaid
423,100015.0,Backyard X-Scapes
441,100016.0,Sunjoy
459,100017.0,MD Building Products
477,100018.0,Bloem
492,100019.0,House of Fara
516,100020.0,BAZZ
540,100021.0,Rain Bird
587,100022.0,Samsung
616,100023.0,Quikrete
629,100024.0,Goal Zero
641,100025.0,Stal wart
661,100026.0,Nantucket Pavers
680,100027.0,UltraTouch
695,100028.0,Backyard X-Scapes
709,100029.0,DecoArt
729,100030.0,Unbranded
741,100031.0,Unbranded
755,100032.0,NorskWall
769,100033.0,HDX
779,100034.0,Marshalltown
800,100035.0,FirsTime
820,100036.0,Rubbermaid
836,100037.0,Husky
870,100038.0,RIDGID
902,100039.0,Emberglow
929,100040.0,Veranda
958,100041.0,Commercial Electric
989,100042.0,American Standard
1009,100043.0,Quikrete
1025,100044.0,Westinghouse
1048,100045.0,Sumner Street Home Hardware
1072,100046.0,HDX
1092,100047.0,Crown Bolt
1117,100048.0,Werner
1138,100049.0,Henry
1164,100050.0,Hampton Bay
1190,100051.0,Hampton Bay
1208,100052.0,Swim Time
1230,100053.0,Unbranded
1273,100054.0,Stanley Doors
1298,100055.0,MOEN
1319,100056.0,Bare Ground
1339,100057.0,Owens Corning
1364,100058.0,Gama Sonic
1383,100059.0,Unbranded
1400,100060.0,RDI
1412,100061.0,Unbranded
1440,100062.0,InSinkErator
1460,100063.0,BAZZ
1488,100064.0,TrafficMASTER Allure
1523,100065.0,Glacier Bay
1545,100066.0,Cutting Edge
1561,100067.0,Weyerhaeuser
1586,100068.0,Rheem
1620,100069.0,Shark
1646,100070.0,GE
1682,100071.0,Steves & Sons
1689,100072.0,Duck
1705,100073.0,Husky
1737,100074.0,Kaleen
1776,100075.0,Home Decorators Collection
1809,100076.0,Unbranded
1837,100077.0,Mueller Global
1868,100078.0,Safavieh
1914,100079.0,Frigidaire
1943,100080.0,Brinly-Hardy
1969,100081.0,STERLING
1997,100082.0,Unbranded
